19 March 2025 11:00PM UTC+01:00
Comiss?o Parlamentar de Inqu?rito - Verifica??o da Legalidade e da Conduta dos Respons?veis Pol?ticos Alegadamente Envolvidos Na Presta??o de Cuidados
Discuss?o e vota??o do Relat?rio Final;.

20 March 2025 02:00AM UTC+01:00
Sem Emiss?o


20 March 2025 06:00AM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


20 March 2025 12:00PM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


20 March 2025 06:00PM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


21 March 2025 12:00AM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


21 March 2025 12:00AM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


21 March 2025 06:00AM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


21 March 2025 12:00PM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


21 March 2025 06:00PM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


22 March 2025 12:00AM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


22 March 2025 12:00AM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


22 March 2025 06:00AM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


22 March 2025 12:00PM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


22 March 2025 06:00PM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


23 March 2025 12:00AM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


23 March 2025 12:00AM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


23 March 2025 06:00AM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


23 March 2025 12:00PM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


23 March 2025 06:00PM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


24 March 2025 12:00AM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


24 March 2025 12:00AM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


24 March 2025 06:00AM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


24 March 2025 12:00PM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


24 March 2025 06:00PM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


25 March 2025 12:00AM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


25 March 2025 12:00AM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


25 March 2025 06:00AM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


25 March 2025 12:00PM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


25 March 2025 06:00PM UTC+01:00
Informa??o N?o Disponibilizada Pelo Canal


